nohup: ignoring input
Using device: cuda:8
VN cache: ogbg_ppa/processed/vn_cache/094aaa235a97a5532d4c (compute once on first access)
num_tasks: 1, num_classes: 37
Parameters: 2,021,437
epochs=120 warmup=5 amp=bf16 grad_clip=1.0 ema_decay=None
Epoch 001 | Loss: 2.0545 | Val Acc: 0.4122 | Best: 0.4122 | lr: 4.00e-04
Epoch 002 | Loss: 1.4173 | Val Acc: 0.4806 | Best: 0.4806 | lr: 6.00e-04
Epoch 003 | Loss: 1.1469 | Val Acc: 0.4898 | Best: 0.4898 | lr: 8.00e-04
Epoch 004 | Loss: 0.9854 | Val Acc: 0.5116 | Best: 0.5116 | lr: 1.00e-03
Epoch 005 | Loss: 0.8917 | Val Acc: 0.5150 | Best: 0.5150 | lr: 1.00e-03
Epoch 006 | Loss: 0.7790 | Val Acc: 0.4774 | Best: 0.5150 | lr: 1.00e-03
Epoch 007 | Loss: 0.6936 | Val Acc: 0.5521 | Best: 0.5521 | lr: 9.99e-04
Epoch 008 | Loss: 0.6412 | Val Acc: 0.5908 | Best: 0.5908 | lr: 9.98e-04
Epoch 009 | Loss: 0.6016 | Val Acc: 0.5762 | Best: 0.5908 | lr: 9.97e-04
Epoch 010 | Loss: 0.5629 | Val Acc: 0.5824 | Best: 0.5908 | lr: 9.95e-04
Epoch 011 | Loss: 0.5367 | Val Acc: 0.5776 | Best: 0.5908 | lr: 9.93e-04
Epoch 012 | Loss: 0.5102 | Val Acc: 0.5055 | Best: 0.5908 | lr: 9.91e-04
Epoch 013 | Loss: 0.4852 | Val Acc: 0.5416 | Best: 0.5908 | lr: 9.88e-04
Epoch 014 | Loss: 0.4660 | Val Acc: 0.6093 | Best: 0.6093 | lr: 9.85e-04
Epoch 015 | Loss: 0.4511 | Val Acc: 0.6061 | Best: 0.6093 | lr: 9.81e-04
Epoch 016 | Loss: 0.4404 | Val Acc: 0.5669 | Best: 0.6093 | lr: 9.78e-04
Epoch 017 | Loss: 0.4237 | Val Acc: 0.5905 | Best: 0.6093 | lr: 9.73e-04
Epoch 018 | Loss: 0.4064 | Val Acc: 0.6067 | Best: 0.6093 | lr: 9.69e-04
Epoch 019 | Loss: 0.4013 | Val Acc: 0.6075 | Best: 0.6093 | lr: 9.64e-04
Epoch 020 | Loss: 0.3916 | Val Acc: 0.6098 | Best: 0.6098 | lr: 9.59e-04
Epoch 021 | Loss: 0.3824 | Val Acc: 0.6186 | Best: 0.6186 | lr: 9.53e-04
Epoch 022 | Loss: 0.3748 | Val Acc: 0.6036 | Best: 0.6186 | lr: 9.47e-04
Epoch 023 | Loss: 0.3663 | Val Acc: 0.5683 | Best: 0.6186 | lr: 9.41e-04
Epoch 024 | Loss: 0.3527 | Val Acc: 0.6074 | Best: 0.6186 | lr: 9.34e-04
Epoch 025 | Loss: 0.3507 | Val Acc: 0.5971 | Best: 0.6186 | lr: 9.27e-04
Epoch 026 | Loss: 0.3395 | Val Acc: 0.5902 | Best: 0.6186 | lr: 9.20e-04
Epoch 027 | Loss: 0.3325 | Val Acc: 0.6091 | Best: 0.6186 | lr: 9.12e-04
Epoch 028 | Loss: 0.3293 | Val Acc: 0.6250 | Best: 0.6250 | lr: 9.05e-04
