nohup: ignoring input
Using device: cuda:8 | seed: 221
VN cache: ogbg_ppa/processed/vn_cache/6df729602e67e58bb510 (compute once on first access)
num_tasks: 1, num_classes: 37
Parameters: 2,850,085
epochs=300 warmup=5 amp=bf16 grad_clip=1.0 ema_decay=None
Epoch 001 | Loss: 2.2099 | Val Acc: 0.4338 | Best: 0.4338 | lr: 6.42e-05
Epoch 002 | Loss: 1.4802 | Val Acc: 0.4777 | Best: 0.4777 | lr: 9.63e-05
Epoch 003 | Loss: 1.2060 | Val Acc: 0.4850 | Best: 0.4850 | lr: 1.28e-04
Epoch 004 | Loss: 1.0281 | Val Acc: 0.5286 | Best: 0.5286 | lr: 1.61e-04
Epoch 005 | Loss: 0.8976 | Val Acc: 0.5543 | Best: 0.5543 | lr: 1.61e-04
Epoch 006 | Loss: 0.7553 | Val Acc: 0.5662 | Best: 0.5662 | lr: 1.61e-04
Epoch 007 | Loss: 0.6592 | Val Acc: 0.5850 | Best: 0.5850 | lr: 1.60e-04
Epoch 008 | Loss: 0.5851 | Val Acc: 0.5680 | Best: 0.5850 | lr: 1.60e-04
Epoch 009 | Loss: 0.5319 | Val Acc: 0.6158 | Best: 0.6158 | lr: 1.60e-04
Epoch 010 | Loss: 0.4887 | Val Acc: 0.5955 | Best: 0.6158 | lr: 1.60e-04
Epoch 011 | Loss: 0.4516 | Val Acc: 0.6253 | Best: 0.6253 | lr: 1.60e-04
Epoch 012 | Loss: 0.4222 | Val Acc: 0.6343 | Best: 0.6343 | lr: 1.60e-04
Epoch 013 | Loss: 0.3981 | Val Acc: 0.6188 | Best: 0.6343 | lr: 1.60e-04
Epoch 014 | Loss: 0.3783 | Val Acc: 0.6307 | Best: 0.6343 | lr: 1.60e-04
Epoch 015 | Loss: 0.3540 | Val Acc: 0.6112 | Best: 0.6343 | lr: 1.60e-04
Epoch 016 | Loss: 0.3429 | Val Acc: 0.6315 | Best: 0.6343 | lr: 1.60e-04
Epoch 017 | Loss: 0.3228 | Val Acc: 0.6341 | Best: 0.6343 | lr: 1.60e-04
Epoch 018 | Loss: 0.3137 | Val Acc: 0.6324 | Best: 0.6343 | lr: 1.60e-04
Epoch 019 | Loss: 0.3034 | Val Acc: 0.6345 | Best: 0.6345 | lr: 1.60e-04
Epoch 020 | Loss: 0.2880 | Val Acc: 0.6459 | Best: 0.6459 | lr: 1.59e-04
Epoch 021 | Loss: 0.2788 | Val Acc: 0.6332 | Best: 0.6459 | lr: 1.59e-04
Epoch 022 | Loss: 0.2748 | Val Acc: 0.6265 | Best: 0.6459 | lr: 1.59e-04
Epoch 023 | Loss: 0.2584 | Val Acc: 0.6211 | Best: 0.6459 | lr: 1.59e-04
Epoch 024 | Loss: 0.2534 | Val Acc: 0.6388 | Best: 0.6459 | lr: 1.59e-04
Epoch 025 | Loss: 0.2449 | Val Acc: 0.6278 | Best: 0.6459 | lr: 1.59e-04
Epoch 026 | Loss: 0.2394 | Val Acc: 0.6584 | Best: 0.6584 | lr: 1.59e-04
Epoch 027 | Loss: 0.2344 | Val Acc: 0.6503 | Best: 0.6584 | lr: 1.58e-04
Epoch 028 | Loss: 0.2309 | Val Acc: 0.6438 | Best: 0.6584 | lr: 1.58e-04
Epoch 029 | Loss: 0.2182 | Val Acc: 0.6316 | Best: 0.6584 | lr: 1.58e-04
Epoch 030 | Loss: 0.2195 | Val Acc: 0.6452 | Best: 0.6584 | lr: 1.58e-04
Epoch 031 | Loss: 0.2172 | Val Acc: 0.6439 | Best: 0.6584 | lr: 1.57e-04
Epoch 032 | Loss: 0.2028 | Val Acc: 0.6443 | Best: 0.6584 | lr: 1.57e-04
Epoch 033 | Loss: 0.2057 | Val Acc: 0.6394 | Best: 0.6584 | lr: 1.57e-04
Epoch 034 | Loss: 0.1987 | Val Acc: 0.6422 | Best: 0.6584 | lr: 1.57e-04
Epoch 035 | Loss: 0.1954 | Val Acc: 0.6560 | Best: 0.6584 | lr: 1.56e-04
Epoch 036 | Loss: 0.1953 | Val Acc: 0.6496 | Best: 0.6584 | lr: 1.56e-04
Epoch 037 | Loss: 0.1901 | Val Acc: 0.6506 | Best: 0.6584 | lr: 1.56e-04
Epoch 038 | Loss: 0.1882 | Val Acc: 0.6483 | Best: 0.6584 | lr: 1.56e-04
Epoch 039 | Loss: 0.1828 | Val Acc: 0.6588 | Best: 0.6588 | lr: 1.55e-04
Epoch 040 | Loss: 0.1797 | Val Acc: 0.6540 | Best: 0.6588 | lr: 1.55e-04
Epoch 041 | Loss: 0.1784 | Val Acc: 0.6355 | Best: 0.6588 | lr: 1.55e-04
Epoch 042 | Loss: 0.1751 | Val Acc: 0.6569 | Best: 0.6588 | lr: 1.54e-04
Epoch 043 | Loss: 0.1722 | Val Acc: 0.6645 | Best: 0.6645 | lr: 1.54e-04
Epoch 044 | Loss: 0.1699 | Val Acc: 0.6462 | Best: 0.6645 | lr: 1.54e-04
Epoch 045 | Loss: 0.1687 | Val Acc: 0.6500 | Best: 0.6645 | lr: 1.53e-04
Epoch 046 | Loss: 0.1620 | Val Acc: 0.6507 | Best: 0.6645 | lr: 1.53e-04
Epoch 047 | Loss: 0.1633 | Val Acc: 0.6477 | Best: 0.6645 | lr: 1.53e-04
Epoch 048 | Loss: 0.1661 | Val Acc: 0.6563 | Best: 0.6645 | lr: 1.52e-04
Epoch 049 | Loss: 0.1628 | Val Acc: 0.6576 | Best: 0.6645 | lr: 1.52e-04
Epoch 050 | Loss: 0.1570 | Val Acc: 0.6605 | Best: 0.6645 | lr: 1.51e-04
Epoch 051 | Loss: 0.1580 | Val Acc: 0.6469 | Best: 0.6645 | lr: 1.51e-04
Epoch 052 | Loss: 0.1559 | Val Acc: 0.6547 | Best: 0.6645 | lr: 1.51e-04
Epoch 053 | Loss: 0.1552 | Val Acc: 0.6447 | Best: 0.6645 | lr: 1.50e-04
Epoch 054 | Loss: 0.1498 | Val Acc: 0.6602 | Best: 0.6645 | lr: 1.50e-04
Epoch 055 | Loss: 0.1464 | Val Acc: 0.6438 | Best: 0.6645 | lr: 1.49e-04
Epoch 056 | Loss: 0.1479 | Val Acc: 0.6592 | Best: 0.6645 | lr: 1.49e-04
Epoch 057 | Loss: 0.1436 | Val Acc: 0.6576 | Best: 0.6645 | lr: 1.49e-04
Epoch 058 | Loss: 0.1439 | Val Acc: 0.6535 | Best: 0.6645 | lr: 1.48e-04
Epoch 059 | Loss: 0.1419 | Val Acc: 0.6498 | Best: 0.6645 | lr: 1.48e-04
Epoch 060 | Loss: 0.1384 | Val Acc: 0.6573 | Best: 0.6645 | lr: 1.47e-04
Epoch 061 | Loss: 0.1384 | Val Acc: 0.6576 | Best: 0.6645 | lr: 1.47e-04
Epoch 062 | Loss: 0.1366 | Val Acc: 0.6600 | Best: 0.6645 | lr: 1.46e-04
Epoch 063 | Loss: 0.1400 | Val Acc: 0.6623 | Best: 0.6645 | lr: 1.46e-04
Epoch 064 | Loss: 0.1376 | Val Acc: 0.6724 | Best: 0.6724 | lr: 1.45e-04
Epoch 065 | Loss: 0.1372 | Val Acc: 0.6494 | Best: 0.6724 | lr: 1.45e-04
Epoch 066 | Loss: 0.1334 | Val Acc: 0.6526 | Best: 0.6724 | lr: 1.44e-04
