nohup: ignoring input
Using device: cuda:2 | seed: 67
VN cache: ogbg_ppa/processed/vn_cache/6df729602e67e58bb510 (compute once on first access)
num_tasks: 1, num_classes: 37
Parameters: 2,021,437
epochs=200 warmup=5 amp=bf16 grad_clip=1.0 ema_decay=None
Epoch 001 | Loss: 1.8563 | Val Acc: 0.4412 | Best: 0.4412 | lr: 4.00e-04
Epoch 002 | Loss: 1.2642 | Val Acc: 0.5097 | Best: 0.5097 | lr: 6.00e-04
Epoch 003 | Loss: 1.0207 | Val Acc: 0.4881 | Best: 0.5097 | lr: 8.00e-04
Epoch 004 | Loss: 0.8864 | Val Acc: 0.5257 | Best: 0.5257 | lr: 1.00e-03
Epoch 005 | Loss: 0.8037 | Val Acc: 0.5464 | Best: 0.5464 | lr: 1.00e-03
Epoch 006 | Loss: 0.7160 | Val Acc: 0.5550 | Best: 0.5550 | lr: 1.00e-03
Epoch 007 | Loss: 0.6634 | Val Acc: 0.5735 | Best: 0.5735 | lr: 1.00e-03
Epoch 008 | Loss: 0.6317 | Val Acc: 0.5452 | Best: 0.5735 | lr: 9.99e-04
Epoch 009 | Loss: 0.5993 | Val Acc: 0.5682 | Best: 0.5735 | lr: 9.99e-04
Epoch 010 | Loss: 0.5762 | Val Acc: 0.5288 | Best: 0.5735 | lr: 9.98e-04
Epoch 011 | Loss: 0.5602 | Val Acc: 0.5497 | Best: 0.5735 | lr: 9.98e-04
Epoch 012 | Loss: 0.5495 | Val Acc: 0.5761 | Best: 0.5761 | lr: 9.97e-04
Epoch 013 | Loss: 0.5366 | Val Acc: 0.5721 | Best: 0.5761 | lr: 9.96e-04
Epoch 014 | Loss: 0.5313 | Val Acc: 0.6050 | Best: 0.6050 | lr: 9.95e-04
Epoch 015 | Loss: 0.5224 | Val Acc: 0.5949 | Best: 0.6050 | lr: 9.94e-04
Epoch 016 | Loss: 0.5101 | Val Acc: 0.5463 | Best: 0.6050 | lr: 9.92e-04
Epoch 017 | Loss: 0.5068 | Val Acc: 0.5666 | Best: 0.6050 | lr: 9.91e-04
Epoch 018 | Loss: 0.5023 | Val Acc: 0.5727 | Best: 0.6050 | lr: 9.89e-04
Epoch 019 | Loss: 0.4948 | Val Acc: 0.5913 | Best: 0.6050 | lr: 9.87e-04
Epoch 020 | Loss: 0.4909 | Val Acc: 0.5246 | Best: 0.6050 | lr: 9.85e-04
Epoch 021 | Loss: 0.4838 | Val Acc: 0.5602 | Best: 0.6050 | lr: 9.83e-04
Epoch 022 | Loss: 0.4760 | Val Acc: 0.5510 | Best: 0.6050 | lr: 9.81e-04
