Using device: cuda:3
Vocab coverage: 0.9026
num_nodetypes: 97, num_nodeattributes: 10030
Parameters: 10,848,710
/src/gs25048/.local/lib/python3.8/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
Epoch 001 | Loss: 14.9563 | Val F1: 0.1833 | Best: 0.1833
Epoch 002 | Loss: 13.6736 | Val F1: 0.1933 | Best: 0.1933
Epoch 003 | Loss: 13.1688 | Val F1: 0.2027 | Best: 0.2027
Epoch 004 | Loss: 12.8505 | Val F1: 0.2025 | Best: 0.2027
Epoch 005 | Loss: 12.6361 | Val F1: 0.2033 | Best: 0.2033
Epoch 006 | Loss: 12.4909 | Val F1: 0.1983 | Best: 0.2033
Epoch 007 | Loss: 12.3717 | Val F1: 0.2051 | Best: 0.2051
Epoch 008 | Loss: 12.2806 | Val F1: 0.1976 | Best: 0.2051
Epoch 009 | Loss: 12.2061 | Val F1: 0.2068 | Best: 0.2068
Epoch 010 | Loss: 12.1397 | Val F1: 0.2054 | Best: 0.2068
Epoch 011 | Loss: 12.0848 | Val F1: 0.1960 | Best: 0.2068
Epoch 012 | Loss: 12.0374 | Val F1: 0.2022 | Best: 0.2068
Epoch 013 | Loss: 11.9985 | Val F1: 0.1997 | Best: 0.2068
Epoch 014 | Loss: 11.9621 | Val F1: 0.1927 | Best: 0.2068
Epoch 015 | Loss: 11.9298 | Val F1: 0.1975 | Best: 0.2068
Epoch 016 | Loss: 11.9077 | Val F1: 0.1970 | Best: 0.2068
Epoch 017 | Loss: 11.8777 | Val F1: 0.1938 | Best: 0.2068
Epoch 018 | Loss: 11.8516 | Val F1: 0.2013 | Best: 0.2068
Epoch 019 | Loss: 11.8302 | Val F1: 0.1972 | Best: 0.2068
Epoch 020 | Loss: 11.8031 | Val F1: 0.1973 | Best: 0.2068
Epoch 021 | Loss: 11.7760 | Val F1: 0.1975 | Best: 0.2068
Epoch 022 | Loss: 11.7555 | Val F1: 0.1919 | Best: 0.2068
Epoch 023 | Loss: 11.7320 | Val F1: 0.2048 | Best: 0.2068
Epoch 024 | Loss: 11.7186 | Val F1: 0.1960 | Best: 0.2068
Epoch 025 | Loss: 11.6973 | Val F1: 0.1958 | Best: 0.2068
Epoch 026 | Loss: 11.6749 | Val F1: 0.2028 | Best: 0.2068
Epoch 027 | Loss: 11.6578 | Val F1: 0.2033 | Best: 0.2068
Epoch 028 | Loss: 11.6361 | Val F1: 0.1978 | Best: 0.2068
Epoch 029 | Loss: 11.6213 | Val F1: 0.1955 | Best: 0.2068
Epoch 030 | Loss: 11.6041 | Val F1: 0.1971 | Best: 0.2068
Epoch 031 | Loss: 11.5893 | Val F1: 0.2068 | Best: 0.2068
Epoch 032 | Loss: 11.5703 | Val F1: 0.2033 | Best: 0.2068
Epoch 033 | Loss: 11.5597 | Val F1: 0.1996 | Best: 0.2068
Epoch 034 | Loss: 11.5411 | Val F1: 0.2011 | Best: 0.2068
Epoch 035 | Loss: 11.5273 | Val F1: 0.1975 | Best: 0.2068
Epoch 036 | Loss: 11.5164 | Val F1: 0.1993 | Best: 0.2068
Epoch 037 | Loss: 11.5020 | Val F1: 0.2015 | Best: 0.2068
Epoch 038 | Loss: 11.4928 | Val F1: 0.2036 | Best: 0.2068
Epoch 039 | Loss: 11.4819 | Val F1: 0.2013 | Best: 0.2068
Epoch 040 | Loss: 11.4712 | Val F1: 0.2005 | Best: 0.2068
Epoch 041 | Loss: 11.4604 | Val F1: 0.2035 | Best: 0.2068
Epoch 042 | Loss: 11.4509 | Val F1: 0.2022 | Best: 0.2068
Epoch 043 | Loss: 11.4409 | Val F1: 0.2059 | Best: 0.2068
Epoch 044 | Loss: 11.4274 | Val F1: 0.1981 | Best: 0.2068
Epoch 045 | Loss: 11.4208 | Val F1: 0.2020 | Best: 0.2068
Epoch 046 | Loss: 11.4078 | Val F1: 0.2006 | Best: 0.2068
Epoch 047 | Loss: 11.3988 | Val F1: 0.1953 | Best: 0.2068
Epoch 048 | Loss: 11.3961 | Val F1: 0.1996 | Best: 0.2068
Epoch 049 | Loss: 11.3816 | Val F1: 0.2023 | Best: 0.2068
Epoch 050 | Loss: 11.3798 | Val F1: 0.1943 | Best: 0.2068
==> Final Test F1: 0.1973
